,Town,Year,pop_5_yrs_and_over,County,Race,Pop
113,NorthBabylon,2017,19774,Suffolk,Latino,5413
114,NorthBabylon,2016,20150,Suffolk,Latino,5424
115,NorthBabylon,2015,19895,Suffolk,Latino,5366
116,NorthBabylon,2014,19608,Suffolk,Latino,5344
117,NorthBabylon,2013,19502,Suffolk,Latino,5772
118,NorthBabylon,2012,18400,Suffolk,Latino,4825
119,NorthBabylon,2011,18675,Suffolk,Latino,4105
120,NorthBabylon,2010,17814,Suffolk,Latino,3724
121,WestBabylon,2017,43168,Suffolk,Latino,5413
122,WestBabylon,2016,43359,Suffolk,Latino,5424
123,WestBabylon,2015,42664,Suffolk,Latino,5366
124,WestBabylon,2014,43725,Suffolk,Latino,5344
125,WestBabylon,2013,43496,Suffolk,Latino,5772
126,WestBabylon,2012,44175,Suffolk,Latino,4882
127,WestBabylon,2011,43754,Suffolk,Latino,4105
128,WestBabylon,2010,44552,Suffolk,Latino,3724
129,WheatleyHeights,2017,5038,Suffolk,Latino,544
130,WheatleyHeights,2016,5076,Suffolk,Latino,421
131,WheatleyHeights,2015,5220,Suffolk,Latino,387
132,WheatleyHeights,2014,5211,Suffolk,Latino,412
133,WheatleyHeights,2013,5356,Suffolk,Latino,438
134,WheatleyHeights,2012,5238,Suffolk,Latino,347
135,WheatleyHeights,2011,5523,Suffolk,Latino,276
136,WheatleyHeights,2010,6195,Suffolk,Latino,662
137,Wyandanch,2017,11315,Suffolk,Latino,3013
138,Wyandanch,2016,10722,Suffolk,Latino,2609
139,Wyandanch,2015,11558,Suffolk,Latino,2764
140,Wyandanch,2014,11187,Suffolk,Latino,2468
141,Wyandanch,2013,10608,Suffolk,Latino,1928
142,Wyandanch,2012,11047,Suffolk,Latino,2040
143,Wyandanch,2011,11265,Suffolk,Latino,2241
144,Wyandanch,2010,10931,Suffolk,Latino,2102
145,DeerPark,2017,27653,Suffolk,Americn_.Indian,11
146,DeerPark,2016,27223,Suffolk,Americn_.Indian,0
147,DeerPark,2015,27346,Suffolk,Americn_.Indian,0
148,DeerPark,2014,27290,Suffolk,Americn_.Indian,0
149,DeerPark,2013,27482,Suffolk,Americn_.Indian,0
150,DeerPark,2012,27770,Suffolk,Americn_.Indian,0
151,DeerPark,2011,27492,Suffolk,Americn_.Indian,0
152,DeerPark,2010,28292,Suffolk,Americn_.Indian,0
153,NorthAmityville,2017,19774,Suffolk,Americn_.Indian,0
154,NorthAmityville,2016,20150,Suffolk,Americn_.Indian,64
155,NorthAmityville,2015,19895,Suffolk,Americn_.Indian,79
156,NorthAmityville,2014,19608,Suffolk,Americn_.Indian,62
157,NorthAmityville,2013,19502,Suffolk,Americn_.Indian,141
158,NorthAmityville,2012,18400,Suffolk,Americn_.Indian,196
159,NorthAmityville,2011,18675,Suffolk,Americn_.Indian,132
160,NorthAmityville,2010,17814,Suffolk,Americn_.Indian,191
161,NorthBabylon,2017,19774,Suffolk,Americn_.Indian,0
162,NorthBabylon,2016,20150,Suffolk,Americn_.Indian,64
163,NorthBabylon,2015,19895,Suffolk,Americn_.Indian,79
164,NorthBabylon,2014,19608,Suffolk,Americn_.Indian,62
165,NorthBabylon,2013,19502,Suffolk,Americn_.Indian,141
166,NorthBabylon,2012,18400,Suffolk,Americn_.Indian,196
167,NorthBabylon,2011,18675,Suffolk,Americn_.Indian,132
168,NorthBabylon,2010,17814,Suffolk,Americn_.Indian,191
169,WestBabylon,2017,43168,Suffolk,Americn_.Indian,61
170,WestBabylon,2016,43359,Suffolk,Americn_.Indian,94
171,WestBabylon,2015,42664,Suffolk,Americn_.Indian,45
172,WestBabylon,2014,43725,Suffolk,Americn_.Indian,71
173,WestBabylon,2013,43496,Suffolk,Americn_.Indian,80
174,WestBabylon,2012,44175,Suffolk,Americn_.Indian,80
175,WestBabylon,2011,43754,Suffolk,Americn_.Indian,91
176,WestBabylon,2010,44552,Suffolk,Americn_.Indian,72
177,WheatleyHeights,2017,5038,Suffolk,Americn_.Indian,0
178,WheatleyHeights,2016,5076,Suffolk,Americn_.Indian,0
179,WheatleyHeights,2015,5220,Suffolk,Americn_.Indian,0
180,WheatleyHeights,2014,5211,Suffolk,Americn_.Indian,0
181,WheatleyHeights,2013,5356,Suffolk,Americn_.Indian,0
182,WheatleyHeights,2012,5238,Suffolk,Americn_.Indian,0
183,WheatleyHeights,2011,5523,Suffolk,Americn_.Indian,0
184,WheatleyHeights,2010,6195,Suffolk,Americn_.Indian,0
185,Wyandanch,2017,11315,Suffolk,Americn_.Indian,168
186,Wyandanch,2016,10722,Suffolk,Americn_.Indian,180
187,Wyandanch,2015,11558,Suffolk,Americn_.Indian,84
188,Wyandanch,2014,11187,Suffolk,Americn_.Indian,65
189,Wyandanch,2013,10608,Suffolk,Americn_.Indian,57
190,Wyandanch,2012,11047,Suffolk,Americn_.Indian,0
191,Wyandanch,2011,11265,Suffolk,Americn_.Indian,0
192,Wyandanch,2010,10931,Suffolk,Americn_.Indian,0
193,DeerPark,2017,27653,Suffolk,Hawain,0
194,DeerPark,2016,27223,Suffolk,Hawain,0
195,DeerPark,2015,27346,Suffolk,Hawain,0
196,DeerPark,2014,27290,Suffolk,Hawain,0
197,DeerPark,2013,27482,Suffolk,Hawain,0
198,DeerPark,2012,27770,Suffolk,Hawain,0
199,DeerPark,2011,27492,Suffolk,Hawain,0
200,DeerPark,2010,28292,Suffolk,Hawain,0
201,NorthAmityville,2017,19774,Suffolk,Hawain,0
202,NorthAmityville,2016,20150,Suffolk,Hawain,0
203,NorthAmityville,2015,19895,Suffolk,Hawain,0
204,NorthAmityville,2014,19608,Suffolk,Hawain,0
205,NorthAmityville,2013,19502,Suffolk,Hawain,0
206,NorthAmityville,2012,18400,Suffolk,Hawain,0
207,NorthAmityville,2011,18675,Suffolk,Hawain,0
208,NorthAmityville,2010,17814,Suffolk,Hawain,0
209,NorthBabylon,2017,19774,Suffolk,Hawain,0
210,NorthBabylon,2016,20150,Suffolk,Hawain,0
